Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,CL31B104KBCNNNC,CAPC3216X180N,116.54,-51.5,0.0,top
C2,CL31B104KBCNNNC,CAPC3216X180N,123.04,-52.0,0.0,top
C3,CL31B104KBCNNNC,CAPC3216X180N,119.54,-56.0,0.0,top
C4,CL31B104KBCNNNC,CAPC3216X180N,109.54,-52.5,0.0,top
C9,CL21A106KAYNNNE,CAPC2012X135N,102.637,-60.5,0.0,top
C10,CL21A106KAYNNNE,CAPC2012X135N,102.637,-65.0,0.0,top
D1,KT-0805W,LED_KT-0805W,103.235,-56.0,0.0,top
D2,KT-0603R,LED_KT-0603R,102.75,-51.5,0.0,top
J2,S2B-PH-K-S_LF__SN_,JST_S2B-PH-K-S_LF__SN_,104.2125,-81.0,90.0,top
MotorDriver1,DRV8837,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,130.05,-62.25,0.0,top
MotorDriver2,DRV8837,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,130.05,-72.75,0.0,top
R1,0805W8F1003T5E,RESC2013X65N,138.05,-52.95,0.0,top
R2,0805W8F1003T5E,RESC2013X65N,138.05,-56.0,0.0,top
R3,0603WAF7501T5E,RESC1608X55N,124.2,-56.0,0.0,top
R4,0603WAF1001T5E,RESC1608X55N,137.7,-62.5,0.0,top
R5,0603WAF1001T5E,RESC1608X55N,138.2,-60.0,0.0,top
SW1,SW_SPDT,mySwitch,135.58,-73.92,0.0,top
U1,TP4056,SOP127P600X175-9N,130.5,-54.5,0.0,top
